Model,Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
LogisticRegression,0.23,0.7697368421052632,0.5617816091954023,0.7872340425531915,0.9568965517241379,0.8638132295719845
LogisticRegression,0.24000000000000002,0.7697368421052632,0.5617816091954023,0.7872340425531915,0.9568965517241379,0.8638132295719845
LogisticRegression,0.25,0.7697368421052632,0.571360153256705,0.7913669064748201,0.9482758620689655,0.8627450980392157
LogisticRegression,0.26,0.7631578947368421,0.5670498084291188,0.7898550724637681,0.9396551724137931,0.8582677165354331
LogisticRegression,0.27,0.7697368421052632,0.5809386973180077,0.7956204379562044,0.9396551724137931,0.8616600790513834
LogisticRegression,0.28,0.7697368421052632,0.5809386973180077,0.7956204379562044,0.9396551724137931,0.8616600790513834
LogisticRegression,0.29000000000000004,0.7631578947368421,0.5766283524904214,0.7941176470588235,0.9310344827586207,0.8571428571428571
LogisticRegression,0.3,0.7631578947368421,0.5766283524904214,0.7941176470588235,0.9310344827586207,0.8571428571428571
LogisticRegression,0.31,0.7631578947368421,0.5766283524904214,0.7941176470588235,0.9310344827586207,0.8571428571428571
LogisticRegression,0.32,0.7631578947368421,0.5766283524904214,0.7941176470588235,0.9310344827586207,0.8571428571428571
LogisticRegression,0.33,0.7697368421052632,0.5905172413793103,0.8,0.9310344827586207,0.8605577689243028
LogisticRegression,0.34,0.7631578947368421,0.5862068965517242,0.7985074626865671,0.9224137931034483,0.856
LogisticRegression,0.35000000000000003,0.7697368421052632,0.600095785440613,0.8045112781954887,0.9224137931034483,0.8594377510040161
LogisticRegression,0.36000000000000004,0.7763157894736842,0.6139846743295019,0.8106060606060606,0.9224137931034483,0.8629032258064516
LogisticRegression,0.37,0.7763157894736842,0.6139846743295019,0.8106060606060606,0.9224137931034483,0.8629032258064516
LogisticRegression,0.38,0.7828947368421053,0.6278735632183908,0.816793893129771,0.9224137931034483,0.8663967611336032
LogisticRegression,0.39,0.7828947368421053,0.6278735632183908,0.816793893129771,0.9224137931034483,0.8663967611336032
LogisticRegression,0.4,0.7763157894736842,0.6235632183908046,0.8153846153846154,0.9137931034482759,0.8617886178861789
LogisticRegression,0.41000000000000003,0.7828947368421053,0.6374521072796935,0.8217054263565892,0.9137931034482759,0.8653061224489796
LogisticRegression,0.42000000000000004,0.7828947368421053,0.6374521072796935,0.8217054263565892,0.9137931034482759,0.8653061224489796
LogisticRegression,0.43,0.7960526315789473,0.6652298850574713,0.8346456692913385,0.9137931034482759,0.8724279835390947
LogisticRegression,0.44,0.7960526315789473,0.6652298850574713,0.8346456692913385,0.9137931034482759,0.8724279835390947
LogisticRegression,0.45,0.7960526315789473,0.6652298850574713,0.8346456692913385,0.9137931034482759,0.8724279835390947
LogisticRegression,0.46,0.7960526315789473,0.6652298850574713,0.8346456692913385,0.9137931034482759,0.8724279835390947
LogisticRegression,0.47000000000000003,0.7960526315789473,0.6652298850574713,0.8346456692913385,0.9137931034482759,0.8724279835390947
LogisticRegression,0.48000000000000004,0.8026315789473685,0.6791187739463602,0.8412698412698413,0.9137931034482759,0.8760330578512396
LogisticRegression,0.49,0.8092105263157895,0.6930076628352491,0.848,0.9137931034482759,0.8796680497925311
LogisticRegression,0.5,0.7960526315789473,0.6843869731800767,0.8455284552845529,0.896551724137931,0.8702928870292888
LogisticRegression,0.51,0.7960526315789473,0.6843869731800767,0.8455284552845529,0.896551724137931,0.8702928870292888
LogisticRegression,0.52,0.7960526315789473,0.6843869731800767,0.8455284552845529,0.896551724137931,0.8702928870292888
