mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__solver,param_mlp__learning_rate_init,param_mlp__hidden_layer_sizes,param_mlp__batch_size,param_mlp__alpha,param_mlp__activation,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.059576988220214844,0.013946493057697771,0.0009992917378743489,0.0014132119284692842,adam,0.004832930238571752,"(32,)",32,2.06913808111479e-05,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.004832930238571752), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(2.06913808111479e-05), 'mlp__activation': 'relu'}",0.65,0.8311688311688312,0.9333333333333333,0.8048340548340548,0.11715967673193271,68
0.1309523582458496,0.022235196356262456,0.011142253875732422,0.007925586388514464,adam,0.0011288378916846883,"(64,)",8,3.792690190732254e-05,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0011288378916846883), 'mlp__hidden_layer_sizes': (64,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(3.792690190732254e-05), 'mlp__activation': 'relu'}",0.8205128205128205,0.8125,0.8571428571428571,0.8300518925518925,0.019433503629802857,34
0.05082233746846517,0.012500904165973057,0.000999768575032552,0.0014138862780454585,adam,0.007847599703514606,"(32,)",64,0.0026366508987303583,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.007847599703514606), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.0026366508987303583), 'mlp__activation': 'relu'}",0.8292682926829268,0.8266666666666667,0.9333333333333333,0.8630894308943088,0.049681294178523606,5
0.15874441464742026,0.007152620040654343,0.0,0.0,adam,0.0001623776739188721,"(64, 32, 16)",32,3.359818286283781e-06,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0001623776739188721), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(3.359818286283781e-06), 'mlp__activation': 'tanh'}",0.7671232876712328,0.6896551724137931,0.9090909090909091,0.788623123058645,0.09086507515366397,82
0.11783401171366374,0.025565242030991586,0.0052471160888671875,0.0074205427362220465,adam,0.00615848211066026,"(16,)",8,0.004832930238571752,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00615848211066026), 'mlp__hidden_layer_sizes': (16,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(0.004832930238571752), 'mlp__activation': 'tanh'}",0.8311688311688312,0.7945205479452054,0.8571428571428571,0.8276107454189646,0.025688952008780287,37
0.07134421666463216,0.003719712406504353,0.0033866564432779946,0.0004406009028756892,adam,0.000545559478116852,"(32, 16)",32,0.01623776739188721,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.000545559478116852), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.01623776739188721), 'mlp__activation': 'relu'}",0.7297297297297297,0.6666666666666666,0.8571428571428571,0.7511797511797512,0.0792269834073185,98
0.09089875221252441,0.005510943267981121,0.007793505986531575,0.005706401529909999,adam,0.0018329807108324356,"(128, 64)",32,0.0026366508987303583,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0018329807108324356), 'mlp__hidden_layer_sizes': (128, 64), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.0026366508987303583), 'mlp__activation': 'relu'}",0.7532467532467533,0.8493150684931506,0.9213483146067416,0.8413033787822152,0.06886060369536276,19
0.11501320203145345,0.01268592514894077,0.0034143924713134766,0.0048286801401961075,adam,0.00379269019073225,"(128, 64)",16,0.01623776739188721,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00379269019073225), 'mlp__hidden_layer_sizes': (128, 64), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(0.01623776739188721), 'mlp__activation': 'relu'}",0.8,0.8611111111111112,0.9333333333333333,0.8648148148148148,0.05449607025763762,4
0.10867691040039062,0.006016281683352802,0.006559689839680989,0.0066505677013644245,adam,0.002335721469090121,"(16,)",8,0.01623776739188721,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002335721469090121), 'mlp__hidden_layer_sizes': (16,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(0.01623776739188721), 'mlp__activation': 'relu'}",0.8354430379746836,0.8125,0.8571428571428571,0.835028631705847,0.018227725637722424,26
0.19113651911417642,0.03181366408187357,0.0034224987030029297,0.001613898396933791,adam,0.002335721469090121,"(64, 32, 16)",8,0.0026366508987303583,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002335721469090121), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(0.0026366508987303583), 'mlp__activation': 'relu'}",0.7027027027027027,0.8311688311688312,0.9333333333333333,0.8224016224016225,0.09435842978927553,43
0.10336391131083171,0.017465873556531106,0.005063851674397786,0.0014928208324508207,adam,0.002335721469090121,"(128, 64)",64,0.008858667904100823,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002335721469090121), 'mlp__hidden_layer_sizes': (128, 64), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.008858667904100823), 'mlp__activation': 'relu'}",0.8148148148148148,0.8611111111111112,0.9213483146067416,0.8657580801775558,0.04361607032281786,3
0.10688050587972005,0.01173972700227244,0.0066195329030354815,0.006727321523690882,adam,0.004832930238571752,"(128,)",8,0.029763514416313194,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.004832930238571752), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'relu'}",0.8837209302325582,0.8108108108108109,0.9333333333333333,0.875955024792234,0.05032013577619168,1
0.09470272064208984,0.024719019365052625,0.0048902034759521484,0.004402009732177717,adam,0.00615848211066026,"(64,)",16,0.029763514416313194,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00615848211066026), 'mlp__hidden_layer_sizes': (64,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'tanh'}",0.8157894736842105,0.7945205479452054,0.8705882352941177,0.8269660856411779,0.03204435213658755,39
